,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
Q1,7,7,7,5,6,5,6,7,6,5,7,7,7,7,5,6,7,7,6,5,7,7
Q2,4,5,4,4,4,6,7,5,4,5,4,5,3,6,4,6,5,5,5,3,4,5
Q3,3,3,2,6,3,2,4,2,3,4,5,4,3,2,2,5,2,2,4,4,2,3
Q4,1,3,1,1,5,3,2,2,3,2,6,2,1,2,3,3,1,1,3,5,1,3
Q5,4,3,2,1,5,2,3,3,2,3,3,2,4,2,2,4,3,1,4,6,2,2
Q6,7,7,7,6,6,5,5,7,6,5,7,7,7,7,5,6,7,7,6,6,7,7
Q7,6,6,6,7,6,5,6,7,7,6,7,5,6,7,7,5,5,7,6,7,6,7
Q8,1,5,1,1,3,3,1,2,1,4,3,1,1,1,2,3,2,1,4,2,1,3
Q9,7,7,5,7,6,6,6,7,7,6,7,7,6,6,7,6,7,6,7,5,7,7
Q10,7,7,7,7,5,5,7,7,7,6,7,4,6,4,6,4,6,4,7,4,6,2
Q11,1,6,1,2,5,5,1,2,2,4,5,1,2,1,3,3,1,1,2,3,1,2
Q12,1,4,4,4,5,6,4,4,4,4,2,1,4,3,4,4,3,2,4,3,5,3
Q13,4,3,1,3,3,2,2,2,2,4,2,3,3,1,2,4,3,2,4,2,2,2
Q14,4,5,5,6,6,4,4,5,6,5,6,4,4,6,5,4,6,6,5,5,4,3
