Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2021-08-16 14:10:13.3651,1,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-16 14:10:18.9250,10,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-16 14:10:19.2857,32,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-08-16 14:10:35.3485,1141,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:10:50.3388,2213,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,0,0.0000,0.0000,Running,1.8534,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:10:50.9638,2258,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9336,1,(0.926 0.934 0.763 0.788 0.785 0.840 0.862 0.891 ),NULL
Rest,2021-08-16 14:10:50.9775,2259,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9383,1,(0.926 0.934 0.763 0.788 0.785 0.840 0.862 0.891 ),NULL
InputWindowChange,2021-08-16 14:11:05.9730,3332,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,0,0.0000,0.6266,Running,4.7048,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:11:11.3492,3716,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,0,0.0001,0.0000,Running,4.7048,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:11:11.3502,3716,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,0,0.0001,0.0000,Running,4.7048,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-16 14:11:26.3582,4790,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,1,0.0000,0.0000,Running,1.5649,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:11:32.3591,5219,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,1,0.0007,0.0000,Running,1.5649,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:11:32.3621,5219,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,1,0.0007,0.0000,Running,1.5649,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-16 14:11:47.3688,6293,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,2,0.0000,0.0000,Running,4.6196,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:11:53.3704,6722,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,2,0.0010,0.0000,Running,4.6196,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:11:53.3727,6722,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,2,0.0010,0.0000,Running,4.6196,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-16 14:12:08.3798,7797,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,3,0.0000,0.0000,Running,1.1243,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:12:14.0182,8200,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8103,2,(0.781 0.814 0.820 0.810 0.771 0.787 0.786 0.784 ),NULL
Rest,2021-08-16 14:12:14.0342,8201,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8141,2,(0.781 0.814 0.820 0.810 0.771 0.787 0.786 0.784 ),NULL
InputWindowChange,2021-08-16 14:12:29.0377,9275,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,3,0.0000,5.6370,Running,2.4336,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:12:29.3631,9298,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8306,3,(0.781 0.814 0.820 0.810 0.831 0.787 0.786 0.784 ),NULL
Rest,2021-08-16 14:12:29.3770,9299,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8449,3,(0.781 0.814 0.820 0.810 0.831 0.787 0.786 0.784 ),NULL
InputWindowChange,2021-08-16 14:12:44.3724,10372,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,3,0.0000,5.9661,Running,3.0478,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:12:44.4143,10375,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,3,0.0082,0.0000,Running,3.0478,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:12:44.4143,10375,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,3,0.0082,0.0000,Running,3.0478,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-16 14:12:59.4109,11447,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,4,0.0000,0.0000,Running,4.7722,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:13:00.6355,11535,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8168,4,(0.838 0.817 0.760 0.782 0.817 0.843 0.855 0.848 ),NULL
Rest,2021-08-16 14:13:00.6502,11536,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7525,4,(0.838 0.817 0.760 0.782 0.817 0.843 0.855 0.848 ),NULL
InputWindowChange,2021-08-16 14:13:15.6460,12608,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,4,0.0000,1.2271,Running,1.3952,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:13:16.9832,12704,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8057,5,(0.806 0.806 0.790 0.812 0.803 0.811 0.790 0.804 ),NULL
Rest,2021-08-16 14:13:17.3584,12731,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8502,5,(0.806 0.806 0.790 0.812 0.803 0.811 0.790 0.804 ),NULL
InputWindowChange,2021-08-16 14:13:31.9919,13778,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,4,0.0000,2.5643,Running,3.9497,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:13:32.2301,13795,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8031,6,(0.806 0.806 0.803 0.812 0.803 0.811 0.790 0.804 ),NULL
Rest,2021-08-16 14:13:32.2431,13796,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7351,6,(0.806 0.806 0.803 0.812 0.803 0.811 0.790 0.804 ),NULL
InputWindowChange,2021-08-16 14:13:47.2380,14869,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,4,0.0000,2.7990,Running,2.3389,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:13:50.4408,15098,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,4,0.0000,0.0000,Running,2.3389,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:13:50.4428,15098,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,4,0.0000,0.0000,Running,2.3389,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-16 14:14:05.4514,16173,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,5,0.0000,0.0000,Running,3.1717,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:14:10.6883,16548,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7910,7,(0.833 0.845 0.810 0.799 0.781 0.799 0.791 0.763 ),NULL
Rest,2021-08-16 14:14:10.7008,16549,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7660,7,(0.833 0.845 0.810 0.799 0.781 0.799 0.791 0.763 ),NULL
InputWindowChange,2021-08-16 14:14:25.6959,17622,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,5,0.0000,5.2356,Running,2.5278,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:14:26.4614,17677,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,5,0.0014,0.0000,Running,2.5278,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:14:26.4624,17677,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,5,0.0014,0.0000,Running,2.5278,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-16 14:14:41.4710,18751,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,6,0.0000,0.0000,Running,4.0796,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:14:41.8894,18781,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8999,8,(0.906 0.892 0.889 0.896 0.900 0.762 0.779 0.795 ),NULL
Rest,2021-08-16 14:14:41.9039,18782,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9191,8,(0.906 0.892 0.889 0.896 0.900 0.762 0.779 0.795 ),NULL
InputWindowChange,2021-08-16 14:14:56.8988,19854,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,6,0.0000,0.4198,Running,2.3359,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:15:02.4819,20254,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,6,0.0018,0.0000,Running,2.3359,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:15:02.4829,20254,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Closed,6,0.0018,0.0000,Running,2.3359,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-16 14:15:17.4774,21327,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,7,0.0000,0.0000,Running,4.3177,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:15:17.9525,21360,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9165,9,(0.921 0.916 0.907 0.904 0.905 0.916 0.924 0.912 ),NULL
Rest,2021-08-16 14:15:17.9661,21361,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9143,9,(0.921 0.916 0.907 0.904 0.905 0.916 0.924 0.912 ),NULL
InputWindowChange,2021-08-16 14:15:32.9616,22434,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,NULL,Open,7,0.0000,0.4724,Running,1.2424,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:15:33.1987,22451,e2fc3c4b333f1cfdb2d9c5fe3d58e130,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9389,10,(0.921 0.916 0.907 0.904 0.905 0.916 0.939 0.912 ),NULL
