Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
BCIStateUpdated,2021-08-16 15:38:31.0382,1,ef322d9d32eccd32d55467c642cbbaf4,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-16 15:38:35.0944,4,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-16 15:38:35.4728,15,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-08-16 15:38:47.4783,544,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:39:02.4723,1226,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,0,0.0000,0.0000,Running,1.5942,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:39:08.4722,1499,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,0,0.0064,0.0000,Running,1.5942,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:39:08.4766,1499,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,0,0.0064,0.0000,Running,1.5942,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:39:23.4830,2192,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,1,0.0000,0.0000,Running,2.2098,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:39:23.9919,2215,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7481,1,(0.735 0.746 0.743 0.733 0.728 0.748 0.723 0.737 )
Rest,2021-08-16 15:39:24.0078,2216,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7651,1,(0.735 0.746 0.743 0.733 0.728 0.748 0.723 0.737 )
InputWindowChange,2021-08-16 15:39:39.0046,2898,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,1,0.0000,0.5018,Running,4.4114,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:39:44.5053,3146,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,1,0.0001,0.0000,Running,4.4114,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:39:44.5068,3146,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,1,0.0001,0.0000,Running,4.4114,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:39:59.5350,3831,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,2,0.0000,0.0000,Running,1.3664,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:40:02.3745,3961,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7540,2,(0.742 0.752 0.757 0.762 0.754 0.748 0.745 0.772 )
