Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
BCIStateUpdated,2021-08-17 12:35:15.9574,1,6d6845aed075c25f0092843e47a87cac,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-17 12:35:20.8016,4,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-17 12:35:21.1698,15,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-08-17 12:35:51.9925,1288,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:36:06.9393,1905,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,0,0.0000,0.0000,Running,1.1841,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:36:12.9372,2155,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,0,0.0031,0.0000,Running,1.1841,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:36:12.9402,2155,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,0,0.0031,0.0000,Running,1.1841,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:36:27.9543,2725,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,1,0.0000,0.0000,Running,3.1154,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:36:29.9952,2803,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8054,1,(0.805 0.740 0.742 0.802 0.814 0.814 0.814 0.794 )
Rest,2021-08-17 12:36:30.0261,2804,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8110,1,(0.805 0.740 0.742 0.802 0.814 0.814 0.814 0.794 )
