Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2021-08-17 12:51:57.4464,1,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-17 12:52:01.9576,6,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-17 12:52:02.2387,15,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-08-17 12:52:17.3436,667,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:52:32.2913,1341,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,0,0.0000,0.0000,Running,3.3683,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:52:37.9036,1596,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7512,1,(0.773 0.765 0.773 0.763 0.763 0.756 0.751 0.757 ),NULL
Rest,2021-08-17 12:52:37.9396,1597,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7300,1,(0.773 0.765 0.773 0.763 0.763 0.756 0.751 0.757 ),NULL
InputWindowChange,2021-08-17 12:52:52.9174,2279,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,0,0.0000,5.6070,Running,2.5070,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:52:53.3211,2298,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,0,0.0080,0.0000,Running,2.5070,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:52:53.3222,2298,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,0,0.0080,0.0000,Running,2.5070,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
