Event,Timestamp,Framecount,SessionID,Email,BCIConfidence,BCIState
Sample,2021-08-17 12:52:02.2398,15,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.2646,ReceivingData
Sample,2021-08-17 12:52:02.2528,16,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.2670,ReceivingData
Sample,2021-08-17 12:52:02.2810,17,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.2846,ReceivingData
Sample,2021-08-17 12:52:02.3092,18,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.3202,ReceivingData
Sample,2021-08-17 12:52:02.3390,19,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.3547,ReceivingData
Sample,2021-08-17 12:52:02.3687,20,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.3542,ReceivingData
Sample,2021-08-17 12:52:02.3926,21,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.3485,ReceivingData
Sample,2021-08-17 12:52:02.4199,22,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.3319,ReceivingData
Sample,2021-08-17 12:52:02.4487,23,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.3951,ReceivingData
Sample,2021-08-17 12:52:02.7025,32,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4374,ReceivingData
Sample,2021-08-17 12:52:02.7597,33,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5204,ReceivingData
Sample,2021-08-17 12:52:02.7836,34,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5422,ReceivingData
Sample,2021-08-17 12:52:02.8078,35,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5488,ReceivingData
Sample,2021-08-17 12:52:02.8395,36,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4970,ReceivingData
Sample,2021-08-17 12:52:02.8690,37,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4935,ReceivingData
Sample,2021-08-17 12:52:03.1861,50,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4791,ReceivingData
Sample,2021-08-17 12:52:03.2036,51,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5350,ReceivingData
Sample,2021-08-17 12:52:03.2275,52,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5313,ReceivingData
Sample,2021-08-17 12:52:03.2578,53,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5588,ReceivingData
Sample,2021-08-17 12:52:03.2821,54,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5577,ReceivingData
Sample,2021-08-17 12:52:03.3011,55,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5302,ReceivingData
Sample,2021-08-17 12:52:03.3244,56,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4941,ReceivingData
Sample,2021-08-17 12:52:03.3519,57,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4067,ReceivingData
Sample,2021-08-17 12:52:03.3802,58,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4374,ReceivingData
Sample,2021-08-17 12:52:03.6690,71,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4512,ReceivingData
Sample,2021-08-17 12:52:03.6913,72,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4465,ReceivingData
Sample,2021-08-17 12:52:03.7179,73,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4160,ReceivingData
Sample,2021-08-17 12:52:03.7340,74,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.3991,ReceivingData
Sample,2021-08-17 12:52:03.7587,75,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4046,ReceivingData
Sample,2021-08-17 12:52:03.7837,76,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4236,ReceivingData
Sample,2021-08-17 12:52:03.8108,77,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4350,ReceivingData
Sample,2021-08-17 12:52:03.8250,78,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4520,ReceivingData
Sample,2021-08-17 12:52:04.1530,92,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4575,ReceivingData
Sample,2021-08-17 12:52:04.1681,93,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4372,ReceivingData
Sample,2021-08-17 12:52:04.1925,94,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4323,ReceivingData
Sample,2021-08-17 12:52:04.2206,95,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4547,ReceivingData
Sample,2021-08-17 12:52:04.2475,96,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4497,ReceivingData
Sample,2021-08-17 12:52:04.2594,97,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4674,ReceivingData
Sample,2021-08-17 12:52:04.2869,98,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5473,ReceivingData
Sample,2021-08-17 12:52:04.3135,99,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6117,ReceivingData
Sample,2021-08-17 12:52:04.3271,100,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6088,ReceivingData
Sample,2021-08-17 12:52:04.6192,113,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5756,ReceivingData
Sample,2021-08-17 12:52:04.6355,114,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6175,ReceivingData
Sample,2021-08-17 12:52:04.6578,115,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6414,ReceivingData
Sample,2021-08-17 12:52:04.6853,116,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6484,ReceivingData
Sample,2021-08-17 12:52:04.7142,117,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6586,ReceivingData
Sample,2021-08-17 12:52:04.7275,118,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6660,ReceivingData
Sample,2021-08-17 12:52:05.1155,133,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6659,ReceivingData
Sample,2021-08-17 12:52:05.1318,134,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6815,ReceivingData
Sample,2021-08-17 12:52:05.1571,135,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6889,ReceivingData
Sample,2021-08-17 12:52:05.1815,136,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.7014,ReceivingData
Sample,2021-08-17 12:52:05.1935,137,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6999,ReceivingData
Sample,2021-08-17 12:52:05.2224,138,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6917,ReceivingData
Sample,2021-08-17 12:52:05.2466,139,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6820,ReceivingData
Sample,2021-08-17 12:52:05.2593,140,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6630,ReceivingData
Sample,2021-08-17 12:52:05.2848,141,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6653,ReceivingData
Sample,2021-08-17 12:52:05.5941,155,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6710,ReceivingData
Sample,2021-08-17 12:52:05.6229,156,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6623,ReceivingData
Sample,2021-08-17 12:52:05.6421,157,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6567,ReceivingData
Sample,2021-08-17 12:52:05.6633,158,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6179,ReceivingData
Sample,2021-08-17 12:52:05.6898,159,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6030,ReceivingData
Sample,2021-08-17 12:52:05.7157,160,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5822,ReceivingData
Sample,2021-08-17 12:52:05.7318,161,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5773,ReceivingData
Sample,2021-08-17 12:52:05.7548,162,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5635,ReceivingData
Sample,2021-08-17 12:52:06.0756,175,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5481,ReceivingData
Sample,2021-08-17 12:52:06.0876,176,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5530,ReceivingData
Sample,2021-08-17 12:52:06.1136,177,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5530,ReceivingData
Sample,2021-08-17 12:52:06.1396,178,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5581,ReceivingData
Sample,2021-08-17 12:52:06.1678,179,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5363,ReceivingData
Sample,2021-08-17 12:52:06.1933,180,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5163,ReceivingData
Sample,2021-08-17 12:52:06.2201,181,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.4935,ReceivingData
Sample,2021-08-17 12:52:06.2477,182,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5162,ReceivingData
Sample,2021-08-17 12:52:06.2608,183,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5232,ReceivingData
Sample,2021-08-17 12:52:06.5403,194,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5212,ReceivingData
Sample,2021-08-17 12:52:06.5512,195,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5622,ReceivingData
Sample,2021-08-17 12:52:06.5682,196,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5613,ReceivingData
Sample,2021-08-17 12:52:06.5908,197,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5684,ReceivingData
Sample,2021-08-17 12:52:06.6169,198,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5804,ReceivingData
Sample,2021-08-17 12:52:06.6444,199,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5935,ReceivingData
Sample,2021-08-17 12:52:07.0228,215,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5948,ReceivingData
Sample,2021-08-17 12:52:07.0489,216,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6221,ReceivingData
Sample,2021-08-17 12:52:07.0599,217,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6397,ReceivingData
Sample,2021-08-17 12:52:07.0897,218,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6296,ReceivingData
Sample,2021-08-17 12:52:07.1143,219,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6193,ReceivingData
Sample,2021-08-17 12:52:07.1400,220,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.5970,ReceivingData
Sample,2021-08-17 12:52:07.1543,221,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6133,ReceivingData
Sample,2021-08-17 12:52:07.1792,222,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6309,ReceivingData
Sample,2021-08-17 12:52:07.2171,223,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,0.6247,ReceivingData
