SoANEW,SoAOLD,SoO,Proprioception,Frustration,Performance,Level,Participant
5,5,4,2,2,19,Body,1
5,5,2,1,2,21,Blocks,1
5,5,2,3,3,19,Body,2
5,5,3,4,3,16,Blocks,2
7,6,7,6,1,20,Body,3
4,4,1,1,6,6,Blocks,3
2,2,6,3,6,5,Body,4
4,4,1,3,4,15,Blocks,4
5,6,4,2,5,17,Body,5
5,5,1,1,5,20,Blocks,5
6,5,6,5,2,26,Body,6
6,6,4,3,3,24,Blocks,6
5,6,6,4,5,12,Body,7
5,3,2,1,3,18,Blocks,7
5,6,6,5,3,20,Body,8
4,5,3,3,3,14,Blocks,8
1,4,5,1,7,0,Body,9
1,4,1,1,6,1,Blocks,9
4,5,4,3,6,9,Body,10
5,5,3,3,5,14,Blocks,10
6,6,4,3,3,23,Body,11
2,6,2,2,2,26,Blocks,11
1,1,2,2,7,3,Body,12
2,2,2,2,4,9,Blocks,12
